NCM;CAPITULO;Descrição;Início da Vigência;Fim da Vigência;uTrib
28255010;28;ÓXIDO CÚPRICO,TEOR D/CUO SUP. 98% INCLUSIVE;01/01/2016;;KG
28255090;28;OUTROS ÓXIDOS E HIDRÓXIDOS DE COBRE;01/01/2016;;KG
28256010;28;ÓXIDOS DE GERMÂNIO;01/01/2016;;KG
28256020;28;DIÓXIDO DE ZIRCÔNIO;01/01/2016;;KG
28257010;28;TRIÓXIDO DE MOLIBDÊNIO;01/01/2016;;KG
28257090;28;OUTROS ÓXIDOS E HIDRÓXIDOS DE MOLIBDÊNIO;01/01/2016;;KG
28258010;28;TRIÓXIDO DE ANTIMÔNIO;01/01/2016;;KG
28258090;28;OUTROS ÓXIDOS DE ANTIMÔNIO;01/01/2016;;KG
28259010;28;ÓXIDO DE CÁDMIO;01/01/2016;;KG
28259020;28;TRIÓXIDO DE TUNGSTÊNIO (VOLFRÂMIO);01/01/2016;;KG
28259090;28;OUTS.ÓX.HID.E PERÓX.,MET.,OUTRAS BASES INORG.;01/01/2016;;KG
28261200;28;FLUORETO DE ALUMÍNIO;01/01/2016;;KG
28261910;28;TRIFLUORETO DE CROMO;01/01/2016;;KG
28261920;28;FLUORETO ÁCIDO DE AMÔNIO;01/01/2016;;KG
28261990;28;OUTROS FLUORETOS;01/01/2016;;KG
28263000;28;HEXAFLUOROALUMINATO DE SÓDIO (CRIOLITA SINTÉTICA);01/01/2016;;KG
28269010;28;FLUORALUMINATO DE POTÁSSIO;01/01/2016;;KG
28269020;28;FLUOSSILICATOS DE SÓDIO OU DE POTÁSSIO;01/01/2016;;KG
28269090;28;OUTS.FLUOR.FLUOSS.FLUORALUM.COMP.D/FLÚOR;01/01/2016;;KG
28271000;28;CLORETO DE AMÔNIO;01/01/2016;;KG
28272010;28;CLORETO D/CÁLCIO,TEOR CÁLCIO >=98% EM PESO;01/01/2016;;KG
28272090;28;OUTROS CLORETOS DE CÁLCIO;01/01/2016;;KG
28273110;28;CLOR.D/MAGN.TEOR MGCL2 INF.98%,CA INF.0,5%;01/01/2016;;KG
28273190;28;OUTROS CLORETOS DE MAGNÉSIO;01/01/2016;;KG
28273200;28;CLORETO DE ALUMÍNIO;01/01/2016;;KG
28273500;28;CLORETO DE NÍQUEL;01/01/2016;;KG
28273910;28;CLORETO COBRE I (CLOR.CUPROSO/MONOCLORETO);01/01/2016;;KG
28273920;28;CLORETO DE TITÂNIO;01/01/2016;;KG
28273940;28;CLORETO DE ZIRCÔNIO;01/01/2016;;KG
28273950;28;CLORETO DE ANTIMÔNIO;01/01/2016;;KG
28273960;28;CLORETO DE LÍTIO;01/01/2016;;KG
28273970;28;CLORETO DE BISMUTO;01/01/2016;;KG
28273991;28;CLORETO DE CÁDMIO;01/01/2016;;KG
28273992;28;CLORETO DE CÉSIO;01/01/2016;;KG
28273993;28;CLORETO DE CROMO;01/01/2016;;KG
28273994;28;CLORETO DE ESTRÔNCIO;01/01/2016;;KG
28273995;28;CLORETO DE MANGANÊS;01/01/2016;;KG
28273996;28;CLORETO DE FERRO;01/01/2016;;KG
28273997;28;CLORETO DE COBALTO;01/01/2016;;KG
28273998;28;CLORETO DE ZINCO;01/01/2016;;KG
28273999;28;OUTROS CLORETOS;01/01/2016;;KG
28274110;28;OXICLORETOS DE COBRE;01/01/2016;;KG
28274120;28;HIDROXICLORETOS DE COBRE;01/01/2016;;KG
28274911;28;OXICLORETO DE BISMUTO;01/01/2016;;KG
28274912;28;OXICLORETO DE ZIRCÔNIO;01/01/2016;;KG
28274919;28;OUTROS OXICLORETOS;01/01/2016;;KG
28274921;28;HIDROXICLORETO DE ALUMÍNIO;01/01/2016;;KG
28274929;28;OUTROS HIDROXICLORETOS;01/01/2016;;KG
28275100;28;BROMETOS D/SÓDIO OU DE POTÁSSIO;01/01/2016;;KG
28275900;28;OUTROS BROMETOS E OXIBROMETOS;01/01/2016;;KG
28276011;28;IODETOS DE SÓDIO;01/01/2016;;KG
28276012;28;IODETOS DE POTÁSSIO;01/01/2016;;KG
28276019;28;OUTROS IODETOS;01/01/2016;;KG
28276021;28;OXIIODETOS DE POTÁSSIO;01/01/2016;;KG
28276029;28;OUTROS OXIIODETOS;01/01/2016;;KG
28281000;28;HIPLOCORITO D/CÁLCIO COML. E OUTS.HIP.D/CÁLCIO;01/01/2016;;KG
28289011;28;HIPLOCORITO DE SÓDIO;01/01/2016;;KG
28289019;28;OUTROS HIPLOCORITOS;01/01/2016;;KG
28289020;28;CLORITO DE SÓDIO;01/01/2016;;KG
28289090;28;OUTROS CLORITOS E HIPOBROMITOS;01/01/2016;;KG
28291100;28;CLORATOS DE SÓDIO;01/01/2016;;KG
28291910;28;CLORATOS DE CÁLCIO;01/01/2016;;KG
28291920;28;CLORATOS DE POTÁSSIO;01/01/2016;;KG
28291990;28;OUTROS CLORATOS;01/01/2016;;KG
28299011;28;BROMATO DE SÓDIO;01/01/2016;;KG
28299012;28;BROMATO DE POTÁSSIO;01/01/2016;;KG
28299019;28;OUTROS BROMATOS;01/01/2016;;KG
28299021;28;PERBROMATO DE SÓDIO;01/01/2016;;KG
28299022;28;PERBROMATO DE POTÁSSIO;01/01/2016;;KG
28299029;28;OUTROS PERBROMATOS;01/01/2016;;KG
28299031;28;IODATO DE POTÁSSIO;01/01/2016;;KG
28299032;28;IODATO DE CÁLCIO;01/01/2016;;KG
28299039;28;OUTROS IODATOS;01/01/2016;;KG
28299040;28;PERIODATOS;01/01/2016;;KG
28299050;28;PERCLORATOS;01/01/2016;;KG
28301010;28;SULFETO DE DISSÓDIO;01/01/2016;;KG
28301020;28;HIDROGENOSSULFETO DE SÓDIO;01/01/2016;;KG
28309011;28;DISSULFETO DE MOLIBDÊNIO;01/01/2016;;KG
28309012;28;SULFETO DE BÁRIO;01/01/2016;;KG
28309013;28;SULFETO DE POTÁSSIO;01/01/2016;;KG
28309014;28;SULFETO DE CHUMBO;01/01/2016;;KG
28309015;28;SULFETO DE ESTRÔNCIO;01/01/2016;;KG
28309016;28;SULFETO DE ZINCO;01/01/2016;;KG
28309019;28;OUTROS SULFETOS;01/01/2016;;KG
28309020;28;POLISSULFETOS;01/01/2016;;KG
28311011;28;DITIONITOS DE SÓDIO ESTABILIZADOS;01/01/2016;;KG
28311019;28;OUTROS DITIONITOS DE SÓDIO;01/01/2016;;KG
28311021;28;SULFOXILATO FORMALDEÍDO DE SÓDIO;01/01/2016;;KG
28311029;28;OUTROS SULFOXILATOS;01/01/2016;;KG
28319010;28;DITIONITO DE ZINCO;01/01/2016;;KG
28319090;28;OUTROS DITIONITOS E SULFOXILATOS;01/01/2016;;KG
28321010;28;SULFITO DE DISSÓDIO;01/01/2016;;KG
28321090;28;OUTROS SULFITOS DE SÓDIO;01/01/2016;;KG
28322000;28;OUTROS SULFITOS;01/01/2016;;KG
28323010;28;TIOSSULFATO DE AMÔNIO;01/01/2016;;KG
28323020;28;TIOSSULFATO DE SÓDIO;01/01/2016;;KG
28323090;28;OUTROS TIOSSULFATOS;01/01/2016;;KG
28331110;28;SULFATO DISSÓDICO ANIDRO;01/01/2016;;KG
28331190;28;OUTROS SULFATOS DISSÓDICOS;01/01/2016;;KG
28331900;28;OUTROS SULFATOS DE SÓDIO;01/01/2016;;KG
28332100;28;SULFATOS DE MAGNÉSIO;01/01/2016;;KG
28332200;28;SULFATOS DE ALUMÍNIO;01/01/2016;;KG
28332400;28;SULFATOS DE NÍQUEL;01/01/2016;;KG
28332510;28;SULFATO CUPROSO;01/01/2016;;KG
28332520;28;SULFATO CUPRICO;01/01/2016;;KG
28332710;28;SULFATO D/BÁRIO,TEOR D/ BASOA >=97,5%EM PESO;01/01/2016;;KG
28332790;28;OUTROS SULFATOS DE BÁRIO;01/01/2016;;KG
28332910;28;SULFATOS DE ANTIMÔNIO;01/01/2016;;KG
28332920;28;SULFATO DE LÍTIO;01/01/2016;;KG
28332930;28;SULFATO DE ESTRÔNCIO;01/01/2016;;KG
28332940;28;SULFATO FERROSO;01/01/2016;;KG
28332950;28;SULFATO NEUTRO DE CHUMBO;01/01/2016;;KG
28332960;28;SULFATOS DE CROMO;01/01/2016;;KG
28332970;28;SULFATOS DE ZINCO;01/01/2016;;KG
28332990;28;OUTROS SULFATOS;01/01/2016;;KG
28333000;28;ALUMES;01/01/2016;;KG
28334010;28;PEROXOSSULFATOS (PERSULFATOS) DE SÓDIO;01/01/2016;;KG
28334020;28;PEROXOSSULFATOS (PERSULFATOS) DE AMÔNIO;01/01/2016;;KG
28334090;28;OUTS.PEROXOSSULFATOS (PERSULFATOS);01/01/2016;;KG
28341010;28;NITRITOS DE SÓDIO;01/01/2016;;KG
28341090;28;OUTROS NITRITOS;01/01/2016;;KG
28342110;28;NITRATOS DE POTÁSSIO C/KNO3 NÃO SUP.A 98%;01/01/2016;;KG
28342190;28;OUTROS NITRATOS DE POTÁSSIO;01/01/2016;;KG
28342910;28;NITRATO DE CÁLCIO,TEOR D/NITROG.=OU INF. A 16%;01/01/2016;;KG
28342930;28;NITRATO DE ALUMÍNIO;01/01/2016;;KG
28342940;28;NITRATO DE LÍTIO;01/01/2016;;KG
28342990;28;OUTROS NITRATOS;01/01/2016;;KG
28351011;28;FOSFINATOS (HIPOFOSFITOS) DE SÓDIO;01/01/2016;;KG
28351019;28;OUTROS FOSFINATOS;01/01/2016;;KG
28351021;28;FOSFONATO (FOSFITO) DIBÁSICO DE CHUMBO;01/01/2016;;KG
28351029;28;OUTROS FOSFONATOS (FOSFITOS);01/01/2016;;KG
28352200;28;FOSFATO MONO OU DISSÓDICO;01/01/2016;;KG
28352400;28;FOSFATO DE POTÁSSIO;01/01/2016;;KG
28352500;28;HIDROGENO-ORTOFOSFATO DE CÁLCIO;01/01/2016;;KG
28352600;28;OUTROS FOSFATOS DE CÁLCIO;01/01/2016;;KG
28352910;28;FOSFATO DE FERRO;01/01/2016;;KG
28352920;28;FOSFATO DE COBALTO;01/01/2016;;KG
28352930;28;FOSFATO DE COBRE;01/01/2016;;KG
28352940;28;FOSFATO DE CROMO;01/01/2016;;KG
28352950;28;FOSFATO DE ESTRÔNCIO;01/01/2016;;KG
28352960;28;FOSFATO DE MANGANÊS;01/01/2016;;KG
28352970;28;FOSFATO DE TRIAMÔNIO;01/01/2016;;KG
28352980;28;FOSFATO DE TRISSÓDIO;01/01/2016;;KG
28352990;28;OUTROS FOSFATOS;01/01/2016;;KG
28353110;28;TRIFOSFATO D/SÓDIO,GRAU ALIMENTÍCIO (FAO-OMS);01/01/2016;;KG
28353190;28;OUTS.TRIFOSFATOS D/SÓDIO(TRIPOLIFOSF.D/SÓDIO);01/01/2016;;KG
28353910;28;METAFOSFATO DE SÓDIO;01/01/2016;;KG
28353920;28;PIROFOSFATO DE SÓDIO;01/01/2016;;KG
28353930;28;PIROFOSFATO DE ZINCO;01/01/2016;;KG
28353990;28;OUTROS POLIFOSFATOS;01/01/2016;;KG
28362010;28;CARBONATO DISSÓDICO, ANIDRO;01/01/2016;;KG
28362090;28;OUTROS CARBONATOS DISSÓDICOS;01/01/2016;;KG
28363000;28;HIDROGENOCARBONATO (BICARBONATO) DE SÓDIO;01/01/2016;;KG
28364000;28;CARBONATOS DE POTÁSSIO;01/01/2016;;KG
28365000;28;CARBONATOS DE CÁLCIO;01/01/2016;;KG
28366010;28;COM UM TEOR DE BACO3 SUPERIOR OU IGUAL A 98%, EM PESO;01/01/2016;;KG
28366090;28;OUTROS;01/01/2016;;KG
28369100;28;CARBONATOS DE LÍTIO;01/01/2016;;KG
28369200;28;CARBONATOS DE ESTRÔNCIO;01/01/2016;;KG
28369911;28;CARBONATOS D/MAGNÉSIO,DENS.APAR.<200KG/M3;01/01/2016;;KG
28369912;28;CARBONATOS DE ZIRCÔNIO;01/01/2016;;KG
28369913;28;CARBONATOS DE AMÔNIO,INCLUSIVE O COMERCIAL;01/01/2016;;KG
28369919;28;OUTROS CARBONATOS;01/01/2016;;KG
28369920;28;PEROXOCARBONATOS (PERCARBONATOS);01/01/2016;;KG
28371100;28;CIANETO E OXICIANETO DE SÓDIO;01/01/2016;;KG
28371911;28;CIANETO DE POTÁSSIO;01/01/2016;;KG
28371912;28;CIANETO DE ZINCO;01/01/2016;;KG
28371914;28;CIANETO DE COBRE I (CIANETO CUPROSO);01/01/2016;;KG
28371915;28;CIANETO DE COBRE II (CIANETO CÚPRICO);01/01/2016;;KG
28371919;28;OUTROS CIANETOS;01/01/2016;;KG
28371920;28;OUTROS OXIANETOS;01/01/2016;;KG
28372011;28;FERROCIANETO DE SÓDIO;01/01/2016;;KG
28372012;28;FERROCIANETO FERROSO;01/01/2016;;KG
28372019;28;OUTROS FERROCIANETOS;01/01/2016;;KG
28372021;28;FERRICIANETO DE POTÁSSIO;01/01/2016;;KG
28372022;28;FERRICIANETO FERRO II (FERRICIANETO FERROSO);01/01/2016;;KG
28372023;28;FERRICIANETO FERRO III (FERRICIANETO FÉRRICO);01/01/2016;;KG
28372029;28;OUTROS FERRICIANETOS;01/01/2016;;KG
28372090;28;OUTROS CIANETOS COMPLEXOS;01/01/2016;;KG
28391100;28;METASSILICATOS DE SÓDIO;01/01/2016;;KG
28391900;28;OUTROS SILICATOS DE SÓDIO;01/01/2016;;KG
28399010;28;SILICATO DE MAGNÉSIO;01/01/2016;;KG
28399020;28;SILICATO DE ALUMÍNIO;01/01/2016;;KG
28399030;28;SILICATO DE ZIRCÔNIO;01/01/2016;;KG
28399040;28;SILICATO DE CHUMBO;01/01/2016;;KG
28399050;28;SILICATO DE POTÁSSIO;01/01/2016;;KG
28399090;28;OUTROS SILICATOS;01/01/2016;;KG
28401100;28;TETRABORATO DISSÓDICO(BÓRAX REF.) ANIDRO;01/01/2016;;KG
28401900;28;OUTRO TETRABORATO DISSÓDICO;01/01/2016;;KG
28402000;28;OUTROS BORATOS;01/01/2016;;KG
28403000;28;PEROXOBORATOS (PERBORATOS);01/01/2016;;KG
28413000;28;DICROMATO DE SÓDIO;01/01/2016;;KG
28415011;28;CROMATO DE AMÔNIO;01/01/2016;;KG
28415012;28;CROMATO DE POTÁSSIO;01/01/2016;;KG
28415013;28;CROMATO DE SÓDIO;01/01/2016;;KG
28415014;28;DICROMATO DE POTÁSSIO;01/01/2016;;KG
28415015;28;CROMATO DE ZINCO;01/01/2016;;KG
28415016;28;CROMATO DE CHUMBO;01/01/2016;;KG
28415019;28;OUTROS CROMATOS E DICROMATOS;01/01/2016;;KG
28415020;28;PEROXOCROMATOS;01/01/2016;;KG
28416100;28;PERMANGANATO DE POTÁSSIO;01/01/2016;;KG
28416910;28;MANGANITOS;01/01/2016;;KG
28416920;28;MANGANATOS;01/01/2016;;KG
28416930;28;OUTROS PERMANGANATOS;01/01/2016;;KG
28417010;28;MOLIBDATO DE AMÔNIO;01/01/2016;;KG
28417020;28;MOLIBDATO DE SÓDIO;01/01/2016;;KG
28417090;28;OUTROS MOLIBDATOS;01/01/2016;;KG
28418010;28;TUNGSTATOS (VOLFRAMATOS) DE AMÔNIO;01/01/2016;;KG
28418020;28;TUNGSTATOS (VOLFRAMATOS) DE CHUMBO;01/01/2016;;KG
28418090;28;OUTROS TUNGSTATOS(VOLFRAMATOS);01/01/2016;;KG
28419011;28;TITANATO DE CHUMBO;01/01/2016;;KG
28419012;28;TITANATOS DE BÁRIO OU DE BISMUTO;01/01/2016;;KG
28419013;28;TITANATO DE CÁLCIO OU ESTRÔNCIO;01/01/2016;;KG
28419014;28;TITANATO DE MAGNÉSIO;01/01/2016;;KG
28419015;28;TITANATO DE LANTÂNIO OU DE NEODÍMIO;01/01/2016;;KG
28419019;28;OUTROS TITANATOS;01/01/2016;;KG
28419021;28;FERRITO DE BÁRIO;01/01/2016;;KG
28419022;28;FERRITO DE ESTRÔNCIO;01/01/2016;;KG
28419029;28;OUTROS FERRITOS E FERRATOS;01/01/2016;;KG
28419030;28;VANADATOS;01/01/2016;;KG
28419041;28;ESTANATO DE BÁRIO;01/01/2016;;KG
28419042;28;ESTANATO DE BISMUTO;01/01/2016;;KG
28419043;28;ESTANATO DE CÁLCIO;01/01/2016;;KG
28419049;28;OUTROS ESTANATOS;01/01/2016;;KG
28419050;28;PLUMBATOS;01/01/2016;;KG
28419060;28;ANTIMONIATOS;01/01/2016;;KG
28419070;28;ZINCATOS;01/01/2016;;KG
28419081;28;ALUMINATOS DE SÓDIO;01/01/2016;;KG
28419082;28;ALUMINATO DE MAGNÉSIO;01/01/2016;;KG
28419083;28;ALUMINATO DE BISMUTO;01/01/2016;;KG
28419089;28;OUTROS ALUMINATOS;01/01/2016;;KG
28419090;28;OUTS.SAIS D/ÁC.OXOMETÁLICOS OU PEROXOMETAL.;01/01/2016;;KG
28421010;28;ZEÓLITAS UTIL.C/TROCADOR.D/ÍONS P/TRAT.D/ÁGUA;01/01/2016;;KG
28421090;28;OUTS SILIC.DUPLS/COMPLX.D/CONS.QUÍM.DEF.OU Ñ;01/01/2016;;KG
28429000;28;OUTS.SAIS D/ÁC.OU PEROXOÁCIDOS INORGÂNICOS;01/01/2016;;KG
28431000;28;METAIS PRECIOSOS NO ESTADO COLOIDAL;01/01/2016;;KG
28432100;28;NITRATO DE PRATA;01/01/2016;;KG
28432910;28;VITELINATO DE PRATA;01/01/2016;;KG
28432990;28;OUTROS COMPOSTOS DE PRATA;01/01/2016;;KG
28433010;28;SULFETO DE OURO EM DISPERSÃO DE GELATINA;01/01/2016;;KG
28433090;28;OUTROS COMPOSTOS DE OURO;01/01/2016;;KG
28439011;28;DEXORMAP.,ENLOP.,IPROP.,ETC.APR.COMO MEDICS.;01/01/2016;;KG
28439019;28;DEXORMAP.,ENLOP.,IPROP.,ETC.Ñ APR.COMO MEDS.;01/01/2016;;KG
28439090;28;OUTS.COMP.INORC./ORG.AMÁLGAMAS,D/MET.PREC.;01/01/2016;;KG
28441000;28;URÂNIO NAT. /SEUS COMPS., LIGAS, DISPERSÕES;01/01/2016;;KG
28442000;28;URÂNIO ENRIQUECIDO EM U235 /SEUS COMPOSTOS;01/01/2016;;KG
28443000;28;URANIO EMPOBRECIDO EM U235 E SEUS COMPOSTOS;01/01/2016;;KG
28444010;28;MOLIBDÊNIO 99 ABSORV.EM ALUM. P/TECNÉCIO 99;01/01/2016;;KG
28444020;28;COBALTO 60;01/01/2016;;KG
28444030;28;IODO 131;01/01/2016;;KG
28444090;28;OUTS.ELEM.ISÓTOPOS E COMPOSTOS RADIOATIVOS;01/01/2016;;KG
28445000;28;ELEMENT.COMBUST,USADOS,D/REATORES NUCLS.;01/01/2016;;KG
28451000;28;ÁGUA PESADA (ÓXIDO DE DEUTÉRIO);01/01/2016;;KG
28459000;28;OUTS.ISOT.Ñ INC.2844, SEUS COMP.ORG./INORGÂN.;01/01/2016;;KG
28461010;28;ÓXIDO CÉRICO;01/01/2016;;KG
28461090;28;OUTROS COMPOSTOS D/CÉRIO;01/01/2016;;KG
28469010;28;ÓXIDO DE PRASEODÍMIO;01/01/2016;;KG
28469020;28;CLORETO DOS DEMAIS METAIS DAS TERRAS RARAS;01/01/2016;;KG
28469030;28;GADOPENTETATO DE DIMEGLUMINA;01/01/2016;;KG
28469090;28;COMP.ORG/INORG.D/MET.TER.RAR.,ÍTRIO,ESCÂNDIO.;01/01/2016;;KG
28470000;28;PERÓXIDO D/HIDROGÊNIO (ÁGUA OXIGENADA);01/01/2016;;KG
28480010;28;FOSFETO DE ALUMÍNIO;01/01/2016;31/03/2017;KG
28480020;28;FOSFETO DE MAGNÉSIO;01/01/2016;31/03/2017;KG
28480030;28;FOSFETO D/COBRE C/+D/15% EM PESO D/FÓSFORO;01/01/2016;31/03/2017;KG
28480090;28;OUTROS FOSFETOS;01/01/2016;31/03/2017;KG
28491000;28;CARBONETO DE CÁLCIO;01/01/2016;;KG
28492000;28;CARBONETO DE SILÍCIO;01/01/2016;;KG
28499010;28;CARBONETO DE BORO;01/01/2016;;KG
28499020;28;CARBONETO DE TÂNTALO;01/01/2016;;KG
28499030;28;CARBONETO DE TUNGSTÊNIO (VOLFRÂMIO);01/01/2016;;KG
28499090;28;OUTROS CARBONETOS;01/01/2016;;KG
28500010;28;NITRETO DE BORO;01/01/2016;;KG
28500020;28;SILICIETOS DE CÁLCIO;01/01/2016;;KG
28500090;28;OUTS.HIDRETOS,NITRET.AZIDAS,SILIC.E BORETOS;01/01/2016;;KG
28521011;28;ÓXIDOS DE MERCÚRIO;01/01/2016;;KG
28521012;28;CLORETO DE MERCÚRIO I (CLORETO MERCUROSO);01/01/2016;;KG
28521013;28;CLOR.D/MERCÚRIO II,P/USO FOTOG.,P/VENDA A RET.;01/01/2016;;KG
28521014;28;CLORETO D/MERCÚRIO II,APRESENTADO D/OUTRO MODO;01/01/2016;;KG
28521019;28;OUTROS COMPS. INORGS./ORGANS. EXC. AMÁLGAMAS;01/01/2016;;KG
28521021;28;ACETATO DE MERCÚRIO;01/01/2016;;KG
28521022;28;TIMEROSAL;01/01/2016;;KG
28521023;28;ESTEARATO DE MERCÚRIO;01/01/2016;;KG
28521024;28;LACTATO DE MERCÚRIO;01/01/2016;;KG
28521025;28;SALICILATO DE MARCÚRIO;01/01/2016;;KG
28521029;28;OUTROS COMPOSTOS ORGÂNICOS DE MERCÚRIO;01/01/2016;;KG
28529000;28;OUTS.COMPOSTOS INORG./ORGÂN.D/MERCÚRIO,EXC.AMÁLGAMAS;01/01/2016;;KG
28530010;28;CIANAMIDA E SEUS DERIVADOS METÁLICOS;01/01/2016;31/03/2017;KG
28530020;28;SULFOCLORETOS DE FÓSFORO;01/01/2016;31/03/2017;KG
28530031;28;CLORETO DE CIANOGÊNIO;01/01/2016;31/03/2017;KG
28530039;28;OUTROS CIANOGÊNIOS E SEUS HALOGENETOS;01/01/2016;31/03/2017;KG
28530090;28;OUTS.COMP.INORG.,AMÁLGAMAS,EXC.D/MET.PREC.;01/01/2016;31/03/2017;KG
28531000;28;;01/01/2017;;KG
28539011;28;;01/01/2017;;KG
28539012;28;;01/01/2017;;KG
28539013;28;;01/01/2017;;KG
28539019;28;;01/01/2017;;KG
28539020;28;;01/01/2017;;KG
28539030;28;;01/01/2017;;KG
28539090;28;;01/01/2017;;KG
29011000;29;HIDROCARBONETOS ACÍCLICOS SATURADOS;01/01/2016;;KG
29012100;29;ETILENO NÃO SATURADO;01/01/2016;;KG
29012200;29;PROPENO (PROPILENO) NÃO SATURADO;01/01/2016;;KG
29012300;29;BUTENO (BUTILENO) Ñ SATURADO,SEUS ISÔMEROS;01/01/2016;;KG
29012410;29;BUTA-1,3-DIENO NÃO SATURADO;01/01/2016;;KG
29012420;29;ISOPRENO NÃO SATURADO;01/01/2016;;KG
29012900;29;OUTS.HIDROCARBONETOS ACÍCLICOS Ñ SATURADOS;01/01/2016;;KG
29021100;29;CICLOEXANO;01/01/2016;;KG
29021910;29;LIMONENO;01/01/2016;;KG
29021990;29;OUTS.HIDROCARB.CICLAN.,CICLEN.,OU CICLOTER.;01/01/2016;;KG
29022000;29;BENZENO;01/01/2016;;KG
29023000;29;TOLUENO;01/01/2016;;KG
29024100;29;O-XILENO;01/01/2016;;KG
29024200;29;M-XILENO;01/01/2016;;KG
29024300;29;P-XILENO;01/01/2016;;KG
29024400;29;MISTURA DE ISÔMEROS DO XILENO;01/01/2016;;KG
29025000;29;ESTIRENO;01/01/2016;;KG
29026000;29;ETILBENZENO;01/01/2016;;KG
29027000;29;CUMENO;01/01/2016;;KG
29029010;29;DIFENILA (1,1-BIFENILA);01/01/2016;;KG
29029020;29;NAFTALENO (HIDROCARBONETO CÍCLICO);01/01/2016;;KG
29029030;29;ANTRACENO;01/01/2016;;KG
29029040;29;ALFA-METILESTIRENO;01/01/2016;;KG
29029090;29;OUTROS HIDROCARBONETOS CÍCLICOS;01/01/2016;;KG
29031110;29;CLOROMETANO (CLORETO DE METILA);01/01/2016;;KG
29031120;29;CLOROETANO (CLORETO DE ETILA);01/01/2016;;KG
29031200;29;DICLOROMETANO (CLORETO DE METILENO);01/01/2016;;KG
29031300;29;CLOROFÓRMIO (TRICLOROMETANO);01/01/2016;;KG
29031400;29;TETRACLORETO DE CARBONO;01/01/2016;;KG
29031500;29;1,2-DICLOROETANO (CLORETO DE ETILENO);01/01/2016;;KG
29031910;29;1,1,1-TRICLORETANO (METILCLOROFÓRMIO);01/01/2016;;KG
29031920;29;1,1,2-TRICLOROETANO;01/01/2016;;KG
29031990;29;OUTS.DER.CLORADOS SAT.D/HIDROCARB.ACÍCLICOS;01/01/2016;;KG
29032100;29;CLORETO DE VINILA (CLOROETILENO);01/01/2016;;KG
29032200;29;TRICLOROETILENO;01/01/2016;;KG
29032300;29;TETRACLOROETILENO (PERCLOROETILENO);01/01/2016;;KG
29032900;29;OUTS.DER.CLORAD.Ñ SAT.D/HIDROCARB.ACÍCLICOS;01/01/2016;;KG
29033100;29;DIBROM.D/ETILENO (ISO) (1,2-DIBROMOETANO);01/01/2016;;KG
29033911;29;1,1,1,2-TETRAFLUORETANO;01/01/2016;;KG
29033912;29;1,1,3,3,3-PENTAFLUOR-2-(TRIFLUORMETIL)PROP-1-ENO;01/01/2016;;KG
29033919;29;OUTROS DERIVADOS FLUORADOS;01/01/2016;;KG
29033921;29;BROMOMETANO;01/01/2016;;KG
29033929;29;OUTROS DERIVADOS BROMADOS;01/01/2016;;KG
29033931;29;IODOETANO;01/01/2016;;KG
29033932;29;IODOFÓRMIO;01/01/2016;;KG
29033939;29;OUTROS DERIVADOS ÍODADOS;01/01/2016;;KG
29037100;29;CLORODIFLUOROMETANOS;01/01/2016;;KG
29037200;29;DICLOROTRIFLUOROETANOS;01/01/2016;;KG
29037300;29;DICLOROFLUOROETANOS;01/01/2016;;KG
29037400;29;CLORODIFLUOROETANOS;01/01/2016;;KG
29037500;29;DICLOROPENTAFLUOROPROPANOS;01/01/2016;;KG
29037600;29;BROMOCLORODI/BROMOTRI/DIBROMOTETRAFLUOROMETANOS;01/01/2016;;KG
29037711;29;TRICLOROFLUOROMETANO;01/01/2016;;KG
29037712;29;DICLORODIFLUOROMETANO;01/01/2016;;KG
29037713;29;CLOROTRIFLUOROMETANO;01/01/2016;;KG
29037721;29;TRICLOROTRIFLUOROETANOS;01/01/2016;;KG
29037722;29;DICLOROTETRAFLUOROETANOS E CLOROPENTAFLUOROETANO;01/01/2016;;KG
29037723;29;PENTACLOROFLUOROETANO;01/01/2016;;KG
29037724;29;TETRACLORODIFLUOROETANOS;01/01/2016;;KG
29037731;29;HEPTACLOROFLUOROPROPANOS;01/01/2016;;KG
29037732;29;HEXACLORODIFLUOROPROPANOS;01/01/2016;;KG
29037733;29;PENTACLOROTRIFLUOROPROPANOS;01/01/2016;;KG
29037734;29;TETRACLOROTETRAFLUOROPROPANOS;01/01/2016;;KG
29037735;29;TRICLOROPENTAFLUOROPROPANOS;01/01/2016;;KG
29037736;29;DICLOROEXAFLUOROPROPANOS;01/01/2016;;KG
29037737;29;CLOROEPTAFLUOROPROPANOS;01/01/2016;;KG
29037790;29;OUTS.DERIV.PERALOGEN.UNIC.C/FLÚOR E CLORO;01/01/2016;;KG
29037800;29;OUTROS DERIVADOS PERALOGENADOS;01/01/2016;;KG
29037911;29;CLOROFLUOROETANOS;01/01/2016;;KG
29037912;29;CLOROTETRAFLUOROETANOS;01/01/2016;;KG
29037919;29;OUTS.DER.D/METAN,ETANO,HALOG.C/FLÚOR E CLORO;01/01/2016;;KG
29037920;29;DERIV.D/MET.,ETANO E PROP.HALOG.C/FLÚOR E BROMO;01/01/2016;;KG
29037931;29;HALOTANO (BROMOCLOROTRIFLUOROETANOS);01/01/2016;;KG
29037939;29;OUTROS DERIV. BROMOCLOROTRIFLUOROETANOS;01/01/2016;;KG
